pl_name,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_massjlim,pl_dens,st_mass
WASP-173 A b,1,2,1,1.38665318,0.0248,13.451,1.2,1172.7927,3.69,0,2.84,1.05
WASP-172 b,1,1,1,5.477433,0.0694,17.598,1.57,149.3801,0.47,0,0.16,1.49
WASP-171 b,1,1,1,3.8186244,0.0504,10.985,0.98,344.52772,1.084,0,1.5,1.17
WASP-170 b,1,1,1,2.34478022,0.0337,12.285,1.096,508.528,1.6,0,1.6,0.93
WASP-17 b,1,1,1,3.73543,,20.961,1.87,247.9074,0.78,0,,2.28
WASP-169 b,1,1,1,5.6114118,0.0681,14.617,1.304,178.30263,0.561,0,0.33,1.34
WASP-168 b,1,2,1,4.153658,0.0519,16.814,1.5,133.4886,0.42,0,0.16,1.08
WASP-167 b,1,1,1,2.0219596,0.0365,17.71,1.58,2542.64,8.0,1,,1.59
WASP-166 b,1,1,1,5.44354,0.0641,7.062,0.63,32.10083,0.101,0,0.54,1.19
WASP-165 b,1,1,1,3.465509,0.04823,14.123,1.26,209.13214,0.658,0,0.44,1.25
WASP-164 b,1,1,1,1.7771255,0.02818,12.644,1.128,676.9779,2.13,0,1.96,0.95
WASP-163 b,1,1,1,1.6096884,0.0266,13.473,1.202,594.3421,1.87,0,1.42,0.97
WASP-162 b,1,1,1,9.62468,0.0871,11.209,1.0,1652.716,5.2,0,6.9,0.95
WASP-161 b,1,1,1,5.4060425,0.0673,12.812,1.143,791.3967,2.49,0,2.2,1.39
WASP-160 B b,1,2,1,3.7684952,0.0452,12.218,1.09,88.35674,0.278,0,0.284,0.87
WASP-16 b,1,1,1,3.1186,,13.675,1.22,394.1092,1.24,0,,1.78
WASP-159 b,1,1,1,3.840401,0.0538,15.468,1.38,174.8065,0.55,0,0.28,1.41
WASP-158 b,1,1,1,3.656333,0.0517,11.994,1.07,886.7457,2.79,0,3.1,1.38
WASP-157 b,1,1,1,3.951623,0.0499,11.19,0.998,,,,,1.06
WASP-156 b,1,1,1,3.8361623,0.0458,6.028,0.538,41.8,0.13152,0,1.05,0.87
WASP-153 b,1,1,1,3.332609,0.048,17.374,1.55,123.9537,0.39,0,0.15,1.34
WASP-151 b,1,1,1,4.5334775,0.055,13.305,1.187,100.43378,0.316,0,0.25065,1.08
WASP-150 b,1,1,1,5.644207,0.0694,11.994,1.07,2688.8418,8.46,0,8.54,1.39
WASP-15 b,1,1,1,3.7521,,15.805,1.41,171.6282,0.54,0,,1.18
WASP-148 c,1,1,2,34.524,0.2044,,,124.58874,0.392,0,,0.95
WASP-148 b,1,1,2,8.803809,0.08215,8.474,0.756,91.21675,0.287,0,0.831,0.95
WASP-147 b,1,1,1,4.60273,0.0549,12.498,1.115,87.40325,0.275,0,0.263,1.04
WASP-145 A b,1,2,1,1.7690381,0.0261,10.088,0.9,282.8687,0.89,0,1.6,0.76
WASP-144 b,1,1,1,2.2783152,0.0316,9.528,0.85,139.8452,0.44,0,0.95,0.81
WASP-142 b,1,1,1,2.052868,0.0347,17.15,1.53,266.9772,0.84,0,0.31,1.33
WASP-141 b,1,1,1,3.310651,0.0469,13.563,1.21,854.9627,2.69,0,1.98,1.25
WASP-140 b,1,2,1,2.2359835,0.0323,16.141,1.44,775.5052,2.44,0,1.1,0.9
WASP-14 b,1,3,1,2.24375,,15.468,1.38,2809.6172,8.84,0,,1.62
WASP-139 b,1,2,1,5.924262,0.062,8.967,0.8,37.18611,0.117,0,0.31,0.92
WASP-138 b,1,1,1,3.634433,0.0494,12.218,1.09,387.7526,1.22,0,1.2,1.22
WASP-136 b,1,1,1,5.215357,0.0661,15.468,1.38,479.9233,1.51,0,0.773,1.41
WASP-135 b,1,1,1,1.4013794,0.0243,14.572,1.3,603.877,1.9,0,1.16,0.98
WASP-133 b,1,1,1,2.176423,0.0345,13.563,1.21,368.6828,1.16,0,0.88,1.16
WASP-132 c,1,1,2,1.011534,0.0182,1.85,0.165,37.35,0.11752,1,,0.78
WASP-132 b,1,1,2,7.133514,0.067,10.05,0.897,,,,,0.78
WASP-131 b,1,1,1,5.322023,0.0607,13.675,1.22,85.8141,0.27,0,0.2,1.06
